hidden_layers,activation_fn,epochs,learning_rate,batch_size,final_accuracy
[4],Identity,25,0.1,16,0.7219512195121951
[4],Identity,25,0.1,32,0.7902439024390244
[4],Identity,25,0.1,64,0.7853658536585366
[4],Identity,25,0.1,128,0.7853658536585366
[4],Identity,25,0.01,16,0.7902439024390244
[4],Identity,25,0.01,32,0.7951219512195122
[4],Identity,25,0.01,64,0.7951219512195122
[4],Identity,25,0.01,128,0.8048780487804879
[4],Identity,25,0.001,16,0.8048780487804879
[4],Identity,25,0.001,32,0.8048780487804879
[4],Identity,25,0.001,64,0.8048780487804879
[4],Identity,25,0.001,128,0.8048780487804879
[4],Identity,50,0.1,16,0.7951219512195122
[4],Identity,50,0.1,32,0.7951219512195122
[4],Identity,50,0.1,64,0.7853658536585366
[4],Identity,50,0.1,128,0.8048780487804879
[4],Identity,50,0.01,16,0.7951219512195122
[4],Identity,50,0.01,32,0.7804878048780488
[4],Identity,50,0.01,64,0.7902439024390244
[4],Identity,50,0.01,128,0.8
[4],Identity,50,0.001,16,0.7951219512195122
[4],Identity,50,0.001,32,0.7951219512195122
[4],Identity,50,0.001,64,0.7853658536585366
[4],Identity,50,0.001,128,0.7951219512195122
[8],ReLU,10,0.1,16,0.8829268292682927
[8],ReLU,10,0.1,32,0.848780487804878
[8],ReLU,10,0.1,64,0.8780487804878049
[8],ReLU,10,0.1,128,0.8634146341463415
[8],ReLU,10,0.01,16,0.8829268292682927
[8],ReLU,10,0.01,32,0.8439024390243902
[8],ReLU,10,0.01,64,0.8390243902439024
[8],ReLU,10,0.01,128,0.8097560975609757
[8],ReLU,10,0.001,16,0.8048780487804879
[8],ReLU,10,0.001,32,0.7951219512195122
[8],ReLU,10,0.001,64,0.7463414634146341
[8],ReLU,10,0.001,128,0.5414634146341464
[8],ReLU,25,0.1,16,0.9170731707317074
[8],ReLU,25,0.1,32,0.9024390243902439
[8],ReLU,25,0.1,64,0.9317073170731708
[8],ReLU,25,0.1,128,0.9219512195121952
[8],ReLU,25,0.01,16,0.8780487804878049
[8],ReLU,25,0.01,32,0.8829268292682927
[8],ReLU,25,0.01,64,0.8634146341463415
[8],ReLU,25,0.01,128,0.8146341463414634
[8],ReLU,25,0.001,16,0.8292682926829268
[8],ReLU,25,0.001,32,0.8097560975609757
[8],ReLU,25,0.001,64,0.8195121951219512
[8],ReLU,25,0.001,128,0.7902439024390244
[8],ReLU,50,0.1,16,0.8780487804878049
[8],ReLU,50,0.1,32,0.9512195121951219
[8],ReLU,50,0.1,64,0.9512195121951219
[8],ReLU,50,0.1,128,0.9902439024390244
[8],ReLU,50,0.01,16,0.9463414634146341
[8],ReLU,50,0.01,32,0.9512195121951219
[8],ReLU,50,0.01,64,0.9170731707317074
[8],ReLU,50,0.01,128,0.9170731707317074
[8],ReLU,50,0.001,16,0.8634146341463415
[8],ReLU,50,0.001,32,0.7853658536585366
[8],ReLU,50,0.001,64,0.8390243902439024
[8],ReLU,50,0.001,128,0.8097560975609757
[8],Sigmoid,10,0.1,16,0.8634146341463415
[8],Sigmoid,10,0.1,32,0.8439024390243902
[8],Sigmoid,10,0.1,64,0.8731707317073171
[8],Sigmoid,10,0.1,128,0.848780487804878
[8],Sigmoid,10,0.01,16,0.7853658536585366
[8],Sigmoid,10,0.01,32,0.7951219512195122
[8],Sigmoid,10,0.01,64,0.8
[8],Sigmoid,10,0.01,128,0.8
[8],Sigmoid,10,0.001,16,0.8048780487804879
[8],Sigmoid,10,0.001,32,0.7707317073170732
[8],Sigmoid,10,0.001,64,0.7463414634146341
[8],Sigmoid,10,0.001,128,0.8
[8],Sigmoid,25,0.1,16,0.9560975609756097
[8],Sigmoid,25,0.1,32,0.9512195121951219
[8],Sigmoid,25,0.1,64,0.9512195121951219
[8],Sigmoid,25,0.1,128,0.9317073170731708
[8],Sigmoid,25,0.01,16,0.8341463414634146
[8],Sigmoid,25,0.01,32,0.8341463414634146
[8],Sigmoid,25,0.01,64,0.8146341463414634
[8],Sigmoid,25,0.01,128,0.7951219512195122
[8],Sigmoid,25,0.001,16,0.7853658536585366
[8],Sigmoid,25,0.001,32,0.8
[8],Sigmoid,25,0.001,64,0.8048780487804879
[8],Sigmoid,25,0.001,128,0.7609756097560976
[8],Sigmoid,50,0.1,16,0.9609756097560975
[8],Sigmoid,50,0.1,32,0.9414634146341463
[8],Sigmoid,50,0.1,64,0.9463414634146341
[8],Sigmoid,50,0.1,128,0.975609756097561
[8],Sigmoid,50,0.01,16,0.8975609756097561
[8],Sigmoid,50,0.01,32,0.8829268292682927
[8],Sigmoid,50,0.01,64,0.8292682926829268
[8],Sigmoid,50,0.01,128,0.824390243902439
[8],Sigmoid,50,0.001,16,0.7902439024390244
[8],Sigmoid,50,0.001,32,0.7902439024390244
[8],Sigmoid,50,0.001,64,0.8
[8],Sigmoid,50,0.001,128,0.8
[8],Tanh,10,0.1,16,0.8878048780487805
[8],Tanh,10,0.1,32,0.9024390243902439
[8],Tanh,10,0.1,64,0.926829268292683
[8],Tanh,10,0.1,128,0.8926829268292683
[8],Tanh,10,0.01,16,0.8634146341463415
[8],Tanh,10,0.01,32,0.8390243902439024
[8],Tanh,10,0.01,64,0.8292682926829268
[8],Tanh,10,0.01,128,0.8
[8],Tanh,10,0.001,16,0.7951219512195122
[8],Tanh,10,0.001,32,0.7853658536585366
[8],Tanh,10,0.001,64,0.7609756097560976
[8],Tanh,10,0.001,128,0.7804878048780488
[8],Tanh,25,0.1,16,0.8682926829268293
[8],Tanh,25,0.1,32,0.9219512195121952
[8],Tanh,25,0.1,64,0.9609756097560975
[8],Tanh,25,0.1,128,0.9609756097560975
[8],Tanh,25,0.01,16,0.926829268292683
[8],Tanh,25,0.01,32,0.8731707317073171
[8],Tanh,25,0.01,64,0.8536585365853658
[8],Tanh,25,0.01,128,0.8048780487804879
[8],Tanh,25,0.001,16,0.8097560975609757
[8],Tanh,25,0.001,32,0.8048780487804879
[8],Tanh,25,0.001,64,0.8097560975609757
[8],Tanh,25,0.001,128,0.7609756097560976
[8],Tanh,50,0.1,16,0.926829268292683
[8],Tanh,50,0.1,32,0.9609756097560975
[8],Tanh,50,0.1,64,0.9560975609756097
[8],Tanh,50,0.1,128,0.9902439024390244
[8],Tanh,50,0.01,16,0.975609756097561
[8],Tanh,50,0.01,32,0.9512195121951219
[8],Tanh,50,0.01,64,0.8926829268292683
[8],Tanh,50,0.01,128,0.9073170731707317
[8],Tanh,50,0.001,16,0.824390243902439
[8],Tanh,50,0.001,32,0.8146341463414634
[8],Tanh,50,0.001,64,0.8
[8],Tanh,50,0.001,128,0.8195121951219512
[8],Softmax,10,0.1,16,0.8829268292682927
[8],Softmax,10,0.1,32,0.8926829268292683
[8],Softmax,10,0.1,64,0.9024390243902439
[8],Softmax,10,0.1,128,0.8585365853658536
[8],Softmax,10,0.01,16,0.8536585365853658
[8],Softmax,10,0.01,32,0.8390243902439024
[8],Softmax,10,0.01,64,0.8146341463414634
[8],Softmax,10,0.01,128,0.8048780487804879
[8],Softmax,10,0.001,16,0.8195121951219512
[8],Softmax,10,0.001,32,0.751219512195122
[8],Softmax,10,0.001,64,0.7658536585365854
[8],Softmax,10,0.001,128,0.6195121951219512
[8],Softmax,25,0.1,16,0.9170731707317074
[8],Softmax,25,0.1,32,0.9073170731707317
[8],Softmax,25,0.1,64,0.9512195121951219
[8],Softmax,25,0.1,128,0.9024390243902439
[8],Softmax,25,0.01,16,0.8975609756097561
[8],Softmax,25,0.01,32,0.8829268292682927
[8],Softmax,25,0.01,64,0.8731707317073171
[8],Softmax,25,0.01,128,0.8536585365853658
[8],Softmax,25,0.001,16,0.8292682926829268
[8],Softmax,25,0.001,32,0.8048780487804879
[8],Softmax,25,0.001,64,0.7951219512195122
[8],Softmax,25,0.001,128,0.7658536585365854
[8],Softmax,50,0.1,16,0.9463414634146341
[8],Softmax,50,0.1,32,0.8878048780487805
[8],Softmax,50,0.1,64,0.9073170731707317
[8],Softmax,50,0.1,128,0.9658536585365853
[8],Softmax,50,0.01,16,0.926829268292683
[8],Softmax,50,0.01,32,0.9658536585365853
[8],Softmax,50,0.01,64,0.9512195121951219
[8],Softmax,50,0.01,128,0.8682926829268293
[8],Softmax,50,0.001,16,0.8195121951219512
[8],Softmax,50,0.001,32,0.8195121951219512
[8],Softmax,50,0.001,64,0.8195121951219512
[8],Softmax,50,0.001,128,0.8048780487804879
[8],Identity,10,0.1,16,0.7902439024390244
[8],Identity,10,0.1,32,0.7707317073170732
[8],Identity,10,0.1,64,0.8048780487804879
[8],Identity,10,0.1,128,0.7951219512195122
[8],Identity,10,0.01,16,0.8097560975609757
[8],Identity,10,0.01,32,0.7902439024390244
[8],Identity,10,0.01,64,0.8097560975609757
[8],Identity,10,0.01,128,0.7902439024390244
[8],Identity,10,0.001,16,0.7951219512195122
[8],Identity,10,0.001,32,0.7951219512195122
[8],Identity,10,0.001,64,0.7902439024390244
[8],Identity,10,0.001,128,0.6878048780487804
[8],Identity,25,0.1,16,0.7853658536585366
[8],Identity,25,0.1,32,0.7560975609756098
[8],Identity,25,0.1,64,0.7951219512195122
[8],Identity,25,0.1,128,0.7804878048780488
[8],Identity,25,0.01,16,0.7902439024390244
[8],Identity,25,0.01,32,0.7853658536585366
[8],Identity,25,0.01,64,0.8
[8],Identity,25,0.01,128,0.8
[8],Identity,25,0.001,16,0.7951219512195122
[8],Identity,25,0.001,32,0.8
